,Row ID,System Name,Host Name,Number of Planets,Stellar Parameter Reference,Stellar Effective Temperature [K],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio
1,2049,HAT-P-4,HAT-P-4 B,1,TICv8,5988.8400+85.4821-133.1770,1.100000+0.132798-0.137919,0.183±0.024,[M/H]
1,2072,HAT-P-41,HAT-P-41,1,TICv8,6479.0000+96.9697-103.7990,1.322000+0.252458-0.163681,0.13±0.05,[M/H]
1,2080,HAT-P-43,HAT-P-43,1,TICv8,5680.3500+119.4580-86.0049,1.010000+0.107174-0.131597,0.1710490±0.0320279,[M/H]
1,2087,HAT-P-44,HAT-P-44,2,TICv8,5115.160+150.256-126.109,0.860000+0.115767-0.102967,0.3672850±0.0096851,[M/H]
1,2107,HAT-P-5,HAT-P-5,1,TICv8,5833.000+142.298-147.589,1.051000+0.151191-0.119137,0.11±0.10,[M/H]
1,2120,HAT-P-50,HAT-P-50,1,TICv8,6321.700+142.715-143.133,1.250000+0.213156-0.158317,-0.134±0.010,[M/H]
1,2122,HAT-P-51,HAT-P-51,1,TICv8,5425.950+99.553-129.652,0.9500000+0.1352630-0.1023670,0.2901730±0.0409939,[M/H]
1,2128,HAT-P-52,HAT-P-52,1,TICv8,5032.08±87.55,0.84,0.288±0.084,[M/H]
1,2142,HAT-P-54,HAT-P-54,1,TICv8,4133.400+116.991-100.360,0.6470000+0.0868728-0.0668292,0.145±0.101,[M/H]
1,2158,HAT-P-56,HAT-P-56,1,TICv8,6635.910+172.946-119.693,1.394000+0.255224-0.199393,-0.0568545±0.0066690,[M/H]
1,2187,HAT-P-6,HAT-P-6,1,TICv8,6893.360+169.806-125.269,1.499000+0.329640-0.190856,-0.0340897±0.0272165,[M/H]
1,2194,HAT-P-61,HAT-P-61,1,TICv8,5464.200+106.868-142.197,0.95500000+0.17708800-0.06399990,0.380±0.061,[M/H]
1,2212,HAT-P-66,HAT-P-66,1,TICv8,6101.120+184.945-100.673,1.150000+0.191164-0.122060,0.1369380±0.0119585,[M/H]
1,2223,HAT-P-68,HAT-P-68,1,TICv8,4221.540+79.216-121.026,0.6600000+0.0888371-0.0710537,-0.0114830±0.0318496,[M/H]
1,2224,HAT-P-69,HAT-P-69,1,TICv8,7668.590+146.549-130.288,1.796000+0.346336-0.240439,0.176±0.020,[M/H]
1,2246,HAT-P-7,HAT-P-7,1,TICv8,6532.2300+123.3940-95.0336,1.347000+0.253454-0.181040,0.2326010±0.0260692,[M/H]
1,2262,HAT-P-8,HAT-P-8,1,TICv8,6401.7900+115.7410-90.3351,1.285000+0.233687-0.160622,0.0480000±0.0357771,[M/H]
1,2269,HAT-P-9,HAT-P-9,1,TICv8,6193.000+139.785-135.111,1.190000+0.178162-0.178249,0.080±0.100,[M/H]
1,2280,HATS-1,HATS-1,1,TICv8,6183.500+113.572-140.570,1.180000+0.165392-0.152597,0.10±0.12,[M/H]
1,2338,HATS-22,HATS-22,1,TICv8,4724.49+122.31-125.35,0.7570000+0.0903600-0.0875017,0.02418900±0.07822720,[M/H]
1,2378,HATS-30,HATS-30,1,TICv8,5750.400+117.654-149.320,1.030000+0.140039-0.118141,-0.1±0.1,[M/H]
1,2396,HATS-34,HATS-34,1,TICv8,5435.5600±86.8012,0.95,0.2453870±0.0875268,[M/H]
1,2485,HATS-52,HATS-52,1,TICv8,5790.350±89.397,1.04,-0.2842880±0.0813642,[M/H]
1,2554,HATS-68,HATS-68,1,TICv8,5704.800+134.577-115.001,1.020000+0.102132-0.145987,-0.2500000±0.0707107,[M/H]
1,2561,HATS-7,HATS-7,1,TICv8,4964.900+111.034-107.044,0.8190000+0.1012240-0.0957893,0.2558640±0.0788158,[M/H]
1,2612,HD 100655,HD 100655,1,TICv8,4891.0±46.0,  ,0.07±0.03,[M/H]
1,2615,HD 100655,HD 100655 B,1,TICv8,3936.180+116.110-157.343,0.6120000+0.0849064-0.0652557,-0.754±0.141,[M/H]
1,2617,HD 100777,HD 100777,1,TICv8,5532.880+120.729-162.313,0.9700000+0.1310570-0.1072560,0.2500000±0.0141421,[M/H]
1,2630,HD 10180,HD 10180,6,TICv8,5901.360+130.582-149.948,1.070000+0.176212-0.105677,0.0793177±0.0065587,[M/H]
1,2639,HD 101930,HD 101930,1,TICv8,5109.5500+90.2371-129.8140,0.8600000+0.1190170-0.0849781,0.1495450±0.0255841,[M/H]
1,2656,HD 102117,HD 102117,1,TICv8,5667.880+123.905-160.352,1.0100000+0.1717890-0.0896139,0.2843240±0.0070623,[M/H]
1,2665,HD 102195,HD 102195,1,TICv8,5276.0000+90.1197-109.8960,0.9000000+0.0951125-0.1257350,0.050±0.100,[M/H]
1,2675,HD 102272,HD 102272,1,TICv8,4762.7200±9.1707,  ,-0.372308±0.033282,[M/H]
1,2701,HD 102365,HD 102365,1,TICv8,5672.00+126.12-151.11,1.010000+0.146621-0.105915,-0.27±0.10,[M/H]
1,2704,HD 102843,HD 102843,1,TICv8,5458.430+99.510-121.122,0.95000000+0.14560500-0.08258640,0.16±0.05,[M/H]
1,2714,HD 102956,HD 102956,1,TICv8,4985.0±25.0,  ,0.2±0.1,[M/H]
1,2718,HD 103197,HD 103197,1,TICv8,5250.000+145.156-100.617,0.9000000+0.1241460-0.0993723,0.22±0.07,[M/H]
1,2724,HD 103720,HD 103720,1,TICv8,5017.000+131.408-123.776,0.8300000+0.0880995-0.1070710,-0.02±0.06,[M/H]
1,2736,HD 103774,HD 103774,1,TICv8,6589.1700+91.7398-123.7710,1.370000+0.285448-0.165918,0.29±0.03,[M/H]
