,Row ID,System Name,Host Name,Number of Planets,Stellar Parameter Reference,Stellar Effective Temperature [K],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio
1,3355,HD 128311,HD 128311,2,TICv8,4917.000+108.880-176.379,0.8100000+0.1152830-0.0737275,0.1±0.1,[M/H]
1,3382,HD 129445,HD 129445,1,TICv8,5635.2000+142.6790-80.3861,1.000000+0.114038-0.126637,0.37±0.03,[M/H]
1,3391,HD 130322,HD 130322,1,TICv8,5377.0000+132.1520-87.4093,0.9300000+0.1055130-0.1281760,0.020±0.100,[M/H]
1,3407,HD 131496,HD 131496,1,TICv8,4846.0±25.0,  ,0.19±0.10,[M/H]
1,3417,HD 13167,HD 13167,1,TICv8,5671.000+137.215-150.352,1.0080000+0.1507490-0.0992388,0.19±0.10,[M/H]
1,3420,HD 13189,HD 13189,1,TICv8,4184.4000±32.0288,  ,-0.371814±0.057215,[M/H]
1,3424,HD 132406,HD 132406,1,TICv8,5759.290+105.975-178.535,1.0300000+0.1618940-0.0931398,0.1293010±0.0151453,[M/H]
1,3433,HD 132563,HD 132563 B,1,TICv8,6073.000+120.055-108.527,1.135000+0.172625-0.126982,-0.06±0.04,[M/H]
1,3451,HD 134060,HD 134060,2,TICv8,5951.680+143.340-147.894,1.090000+0.142783-0.138150,0.1271760±0.0068571,[M/H]
1,3463,HD 134606,HD 134606,5,TICv8,5624.9200+125.3880-99.0343,1.00000+0.14642-0.11562,0.2687110±0.0142475,[M/H]
1,3471,HD 134987,HD 134987,2,TICv8,5701.0000+111.0570-99.5815,1.020000+0.124286-0.120497,0.25±0.10,[M/H]
1,3492,HD 135625,HD 135625,1,TICv8,6040.6400+127.2450-91.5243,1.120000+0.116191-0.176881,0.12±0.05,[M/H]
1,3497,HD 135694,HD 135694,1,TICv8,5711.8500+116.4110-96.1881,1.020000+0.134474-0.111221,-0.19±0.07,[M/H]
1,3498,HD 135872,HD 135872,1,TICv8,4992.0±25.0,  ,0.090±0.100,[M/H]
1,3501,HD 136118,HD 136118,1,TICv8,6182.430+178.616-116.396,1.180000+0.185477-0.133329,-0.0419606±0.0148204,[M/H]
1,3504,HD 136352,HD 136352,3,TICv8,5739.000+109.099-112.267,1.030000+0.146386-0.107683,-0.26±0.10,[M/H]
1,3529,HD 136925,HD 136925,1,TICv8,5779.0000+92.1764-121.6800,1.040000+0.150119-0.115545,-0.2±0.1,[M/H]
1,3530,HD 13724,HD 13724,1,TICv8,5835.3100+205.3920-81.3054,1.050000+0.145196-0.130197,0.2169390±0.0085714,[M/H]
1,3533,HD 137388,HD 137388,1,TICv8,5188.530+119.068-122.673,0.8800000+0.1152290-0.0991951,0.1850000±0.0212132,[M/H]
1,3538,HD 137496,HD 137496,2,TICv8,5749.700+103.903-120.087,1.028000+0.153439-0.106229,-0.14±0.09,[M/H]
1,3547,HD 13808,HD 13808,2,TICv8,5068.410+98.453-108.562,0.8500000+0.0952117-0.1078650,-0.206923±0.016641,[M/H]
1,3550,HD 13908,HD 13908,2,TICv8,6253.0600+76.1328-137.1070,1.210000+0.196211-0.154106,0.01±0.04,[M/H]
1,3564,HD 13931,HD 13931,1,TICv8,5853.000+130.328-110.079,1.060000+0.130971-0.131024,0.060±0.100,[M/H]
1,3570,HD 139357,HD 139357,1,TICv8,4601.9200±27.9047,  ,0.2650000±0.0353553,[M/H]
